subject,grade,skillId,skillIdentifier,skillDesc,,,,
ELA - Common Core,1,16135,RF.1.1.a,Recognize the distinguishing features of a sentence.,,,,
ELA - Common Core,1,16142,RF.1.2,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes).",,,,
ELA - Common Core,1,16143,RF.1.2.a,Distinguish long from short vowel sounds in spoken single-syllable words.,,,,
ELA - Common Core,1,16144,RF.1.2.b,"Orally produce single-syllable words by blending sounds (phonemes), including consonant blends.",,,,
ELA - Common Core,1,16145,RF.1.2.c,"Isolate and pronounce initial, medial vowel, and final sounds (phonemes) in spoken single-syllable words.",,,,
ELA - Common Core,1,16146,RF.1.2.d,Segment spoken single-syllable words into their complete sequence of individual sounds (phonemes).,,,,
ELA - Common Core,1,16152,RF.1.3,Know and apply grade-level phonics and word analysis skills in decoding words.,,,,
ELA - Common Core,1,16153,RF.1.3.a,Know the spelling-sound correspondences for common consonant digraphs.,,,,
ELA - Common Core,1,16154,RF.1.3.b,Decode regularly spelled one-syllable words.,,,,
ELA - Common Core,1,16155,RF.1.3.c,Know final -e and common vowel team conventions for representing long vowel sounds.,,,,
ELA - Common Core,1,16156,RF.1.3.d,Use knowledge that every syllable must have a vowel sound to determine the number of syllables in a printed word.,,,,
ELA - Common Core,1,16157,RF.1.3.e,Decode two-syllable words following basic patterns by breaking the words into syllables.,,,,
ELA - Common Core,1,16158,RF.1.3.f,Read words with inflectional endings.,,,,
ELA - Common Core,1,16159,RF.1.3.g,Recognize and read grade-appropriate irregularly spelled words.,,,,
ELA - Common Core,1,16177,RF.1.4,Read with sufficient accuracy and fluency to support comprehension.,,,,
ELA - Common Core,1,16178,RF.1.4.a,Read grade-level text with purpose and understanding.,,,,
ELA - Common Core,1,16179,RF.1.4.b,"Read grade-level text orally with accuracy, appropriate rate, and expression on successive readings.",,,,
ELA - Common Core,1,16180,RF.1.4.c,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary.",,,,
ELA - Common Core,1,16323,W.1.1,"Write opinion pieces in which they introduce the topic or name the book they are writing about, state an opinion, supply a reason for the opinion, and provide some sense of closure.",,,,
ELA - Common Core,1,16324,W.1.2,"Write informative/explanatory texts in which they name a topic, supply some facts about the topic, and provide some sense of closure.",,,,
ELA - Common Core,1,16325,W.1.3,"Write narratives in which they recount two or more appropriately sequenced events, include some details regarding what happened, use temporal words to signal event order, and provide some sense of closure.",,,,
ELA - Common Core,1,16513,W.1.5,"With guidance and support from adults, focus on a topic, respond to questions and suggestions from peers, and add details to strengthen writing as needed.",,,,
ELA - Common Core,1,16514,W.1.6,"With guidance and support from adults, use a variety of digital tools to produce and publish writing, including in collaboration with peers.",,,,
ELA - Common Core,1,16549,W.1.7,Participate in shared research and writing projects.,,,,
ELA - Common Core,1,16550,W.1.8,"With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question.",,,,
ELA - Common Core,1,16735,SL.1.1,Participate in collaborative conversations with diverse partners about grade 1 topics and texts with peers and adults in small and larger groups.,,,,
ELA - Common Core,1,16736,SL.1.1.a,Follow agreed-upon rules for discussions.,,,,
ELA - Common Core,1,16737,SL.1.1.b,Build on others' talk in conversations by responding to the comments of others through multiple exchanges.,,,,
ELA - Common Core,1,16738,SL.1.1.c,Ask questions to clear up any confusion about the topics and texts under discussion.,,,,
ELA - Common Core,1,16739,SL.1.2,Ask and answer questions about key details in a text read aloud or information presented orally or through other media.,,,,
ELA - Common Core,1,16740,SL.1.3,Ask and answer questions about what a speaker says in order to gather additional information or clarify something that is not understood.,,,,
ELA - Common Core,1,16820,SL.1.4,"Describe people, places, things, and events with relevant details, expressing ideas and feelings clearly.",,,,
ELA - Common Core,1,16821,SL.1.5,"Add drawings or other visual displays to descriptions when appropriate to clarify ideas, thoughts, and feelings.",,,,
ELA - Common Core,1,16822,SL.1.6,Produce complete sentences when appropriate to task and situation.,,,,
ELA - Common Core,1,16863,L.1.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,,
ELA - Common Core,1,16864,L.1.1.a,Print all upper- and lowercase letters.,,,,
ELA - Common Core,1,16865,L.1.1.b,"Use common, proper, and possessive nouns.",,,,
ELA - Common Core,1,16866,L.1.1.c,Use singular and plural nouns with matching verbs in basic sentences.,,,,
ELA - Common Core,1,16867,L.1.1.d,"Use personal, possessive, and indefinite pronouns.",,,,
ELA - Common Core,1,16868,L.1.1.e,"Use verbs to convey a sense of past, present, and future.",,,,
ELA - Common Core,1,16869,L.1.1.f,Use frequently occurring adjectives.,,,,
ELA - Common Core,1,16870,L.1.1.g,Use frequently occurring conjunctions.,,,,
ELA - Common Core,1,16871,L.1.1.h,Use determiners.,,,,
ELA - Common Core,1,16872,L.1.1.i,Use frequently occurring prepositions.,,,,
ELA - Common Core,1,16873,L.1.1.j,"Produce and expand complete simple and compound declarative, interrogative, imperative, and exclamatory sentences in response to prompts.",,,,
ELA - Common Core,1,16874,L.1.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,,
ELA - Common Core,1,16875,L.1.2.a,Capitalize dates and names of people.,,,,
ELA - Common Core,1,16876,L.1.2.b,Use end punctuation for sentences.,,,,
ELA - Common Core,1,16877,L.1.2.c,Use commas in dates and to separate single words in a series.,,,,
ELA - Common Core,1,16878,L.1.2.d,Use conventional spelling for words with common spelling patterns and for frequently occurring irregular words.,,,,
ELA - Common Core,1,16879,L.1.2.e,"Spell untaught words phonetically, drawing on phonemic awareness and spelling conventions.",,,,
ELA - Common Core,1,17023,L.1.4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 1 reading and content, choosing flexibly from an array of strategies.",,,,
ELA - Common Core,1,17024,L.1.4.a,Use sentence-level context as a clue to the meaning of a word or phrase.,,,,
ELA - Common Core,1,17025,L.1.4.b,Use frequently occurring affixes as a clue to the meaning of a word.,,,,
ELA - Common Core,1,17026,L.1.4.c,Identify frequently occurring root words and their inflectional forms.,,,,
ELA - Common Core,1,17027,L.1.5,"With guidance and support from adults, demonstrate understanding of word relationships and nuances in word meanings.",,,,
ELA - Common Core,1,17028,L.1.5.a,Sort words into categories to gain a sense of the concepts the categories represent.,,,,
ELA - Common Core,1,17029,L.1.5.b,Define words by category and by one or more key attributes.,,,,
ELA - Common Core,1,17030,L.1.5.c,Identify real-life connections between words and their use.,,,,
ELA - Common Core,1,17031,L.1.5.d,Distinguish shades of meaning among verbs differing in manner and adjectives differing in intensity by defining or choosing them or by acting out the meanings.,,,,
ELA - Common Core,1,17032,L.1.6,"Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using frequently occurring conjunctions to signal simple relationships.",,,,
ELA - Common Core," 11, 12",15913,RL.11-12.1,"Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text, including determining where the text leaves matters uncertain.",,,,
ELA - Common Core," 11, 12",15914,RL.11-12.2,"Determine two or more themes or central ideas of a text and analyze their development over the course of the text, including how they interact and build on one another to produce a complex account; provide an objective summary of the text.",,,,
ELA - Common Core," 11, 12",15915,RL.11-12.3,Analyze the impact of the author's choices regarding how to develop and relate elements of a story or drama.,,,,
ELA - Common Core," 11, 12",15952,RL.11-12.4,"Determine the meaning of words and phrases as they are used in the text, including figurative and connotative meanings; analyze the impact of specific word choices on meaning and tone, including words with multiple meanings or language that is particularly fresh, engaging, or beautiful. (Include Shakespeare as well as other authors).",,,,
ELA - Common Core," 11, 12",15953,RL.11-12.5,Analyze how an author's choices concerning how to structure specific parts of a text contribute to its overall structure and meaning as well as its aesthetic impact.,,,,
ELA - Common Core," 11, 12",15954,RL.11-12.6,Analyze a case in which grasping point of view requires distinguishing what is directly stated in a text from what is really meant.,,,,
ELA - Common Core," 11, 12",15980,RL.11-12.7,"Analyze multiple interpretations of a story, drama, or poem, evaluating how each version interprets the source text. (Include at least one play by Shakespeare and one play by an American dramatist.)",,,,
ELA - Common Core," 11, 12",15981,RL.11-12.9,"Demonstrate knowledge of eighteenth-, nineteenth- and early-twentieth-century foundational works of American literature, including how two or more texts from the same period treat similar themes or topics.",,,,
ELA - Common Core," 11, 12",15995,RL.11-12.10,"By the end of grade 11, read and comprehend literature, including stories, dramas, and poems, in the grades 11-CCR text complexity band proficiently, with scaffolding as needed at the high end of the range.<br/><br/>By the end of grade 12, read and comprehend literature, including stories, dramas, and poems, at the high end of the grades 11-CCR text complexity band independently and proficiently.",,,,
ELA - Common Core," 11, 12",16031,RI.11-12.1,"Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text, including determining where the text leaves matters uncertain.",,,,
ELA - Common Core," 11, 12",16032,RI.11-12.2,"Determine two or more central ideas of a text and analyze their development over the course of the text, including how they interact and build on one another to provide a complex analysis; provide an objective summary of the text.",,,,
ELA - Common Core," 11, 12",16033,RI.11-12.3,"Analyze a complex set of ideas or sequence of events and explain how specific individuals, ideas, or events interact and develop over the course of the text.",,,,
ELA - Common Core," 11, 12",16070,RI.11-12.4,"Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze how an author uses and refines the meaning of a key term or terms over the course of a text.",,,,
ELA - Common Core," 11, 12",16071,RI.11-12.5,"Analyze and evaluate the effectiveness of the structure an author uses in his or her exposition or argument, including whether the structure makes points clear, convincing, and engaging.",,,,
ELA - Common Core," 11, 12",16072,RI.11-12.6,"Determine an author's point of view or purpose in a text in which the rhetoric is particularly effective, analyzing how style and content contribute to the power, persuasiveness, or beauty of the text.",,,,
ELA - Common Core," 11, 12",16109,RI.11-12.7,Integrate and evaluate multiple sources of information presented in different media or formats as well as in words in order to address a question or solve a problem.,,,,
ELA - Common Core," 11, 12",16110,RI.11-12.8,"Delineate and evaluate the reasoning in seminal U.S. texts, including the application of constitutional principles and use of legal reasoning and the premises, purposes, and arguments in works of public advocacy.",,,,
ELA - Common Core," 11, 12",16111,RI.11-12.9,"Analyze seventeenth-, eighteenth-, and nineteenth-century foundational U.S. documents of historical and literary significance (including The Declaration of Independence, the Preamble to the Constitution, the Bill of Rights, and Lincoln's Second Inaugural Address) for their themes, purposes, and rhetorical features.",,,,
ELA - Common Core," 11, 12",16126,RI.11-12.10,"By the end of grade 11, read and comprehend literary nonfiction in the grades 11-CCR text complexity band proficiently, with scaffolding as needed at the high end of the range.<br/>By the end of grade 12, read and comprehend literary nonfiction at the high end of the grades 11-CCR text complexity band independently and proficiently.",,,,
ELA - Common Core," 11, 12",16204,RH.11-12.1,"Cite specific textual evidence to support analysis of primary and secondary sources, connecting insights gained from specific details to an understanding of the text as a whole.",,,,
ELA - Common Core," 11, 12",16205,RH.11-12.2,Determine the central ideas or information of a primary or secondary source; provide an accurate summary that makes clear the relationships among the key details and ideas.,,,,
ELA - Common Core," 11, 12",16206,RH.11-12.3,"Evaluate various explanations for actions or events and determine which explanation best accords with textual evidence, acknowledging where the text leaves matters uncertain.",,,,
ELA - Common Core," 11, 12",16213,RH.11-12.4,"Determine the meaning of words and phrases as they are used in a text, including analyzing how an author uses and refines the meaning of a key term over the course of a text.",,,,
ELA - Common Core," 11, 12",16214,RH.11-12.5,"Analyze in detail how a complex primary source is structured, including how key sentences, paragraphs, and larger portions of the text contribute to the whole.",,,,
ELA - Common Core," 11, 12",16215,RH.11-12.6,"Evaluate authors' differing points of view on the same historical event or issue by assessing the authors' claims, reasoning, and evidence.",,,,
ELA - Common Core," 11, 12",16222,RH.11-12.7,Integrate and evaluate multiple sources of information presented in diverse formats and media in order to address a question or solve a problem.,,,,
ELA - Common Core," 11, 12",16223,RH.11-12.8,"Evaluate an author's premises, claims, and evidence by corroborating or challenging them with other information.",,,,
ELA - Common Core," 11, 12",16224,RH.11-12.9,"Integrate information from diverse sources, both primary and secondary, into a coherent understanding of an idea or event, noting discrepancies among sources.",,,,
ELA - Common Core," 11, 12",16227,RH.11-12.10,"By the end of grade 12, read and comprehend history/social studies texts in the grades 11-CCR text complexity band independently and proficiently.",,,,
ELA - Common Core," 11, 12",16265,RST.11-12.1,"Cite specific textual evidence to support analysis of science and technical texts, attending to important distinctions the author makes and to any gaps or inconsistencies in the account.",,,,
ELA - Common Core," 11, 12",16266,RST.11-12.2,"Determine the central ideas or conclusions of a text; summarize complex concepts, processes, or information presented in a text by paraphrasing them in simpler but still accurate terms.",,,,
ELA - Common Core," 11, 12",16267,RST.11-12.3,"Follow precisely a complex multistep procedure when carrying out experiments, taking measurements, or performing technical tasks; analyze the specific results based on explanations in the text.",,,,
ELA - Common Core," 11, 12",16274,RST.11-12.4,"Determine the meaning of symbols, key terms, and other domain-specific words and phrases as they are used in a specific scientific or technical context relevant to grades 11-12 texts and topics.",,,,
ELA - Common Core," 11, 12",16275,RST.11-12.5,"Analyze how the text structures information or ideas into categories or hierarchies, demonstrating understanding of the information or ideas.",,,,
ELA - Common Core," 11, 12",16276,RST.11-12.6,"Analyze the author's purpose in providing an explanation, describing a procedure, or discussing an experiment in a text, identifying important issues that remain unresolved.",,,,
ELA - Common Core," 11, 12",16283,RST.11-12.7,Integrate and evaluate multiple sources of information presented in diverse formats and media in order to address a question or solve a problem.,,,,
ELA - Common Core," 11, 12",16284,RST.11-12.8,"Evaluate the hypotheses, data, analysis, and conclusions in a science or technical text, verifying the data when possible and corroborating or challenging conclusions with other sources of information.",,,,
ELA - Common Core," 11, 12",16285,RST.11-12.9,"Synthesize information from a range of sources into a coherent understanding of a process, phenomenon, or concept, resolving conflicting information when possible.",,,,
ELA - Common Core," 11, 12",16288,RST.11-12.10,"By the end of grade 12, read and comprehend science/technical texts in the grades 11-CCR text complexity band independently and proficiently.",,,,
ELA - Common Core," 11, 12",16473,W.11-12.1,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",,,,
ELA - Common Core," 11, 12",16474,W.11-12.1.a,"Introduce precise, knowledgeable claim(s), establish the significance of the claim(s), distinguish the claim(s) from alternate or opposing claims, and create an organization that logically sequences claim(s), counterclaims, reasons, and evidence.",,,,
ELA - Common Core," 11, 12",16475,W.11-12.1.b,"Develop claim(s) and counterclaims fairly and thoroughly, supplying the most relevant evidence for each while pointing out the strengths and limitations of both in a manner that anticipates the audience's knowledge level, concerns, values, and possible biases.",,,,
ELA - Common Core," 11, 12",16476,W.11-12.1.c,"Use words, phrases, and clauses as well as varied syntax to link the major sections of the text, create cohesion, and clarify the relationships between claim(s) and reasons, between reasons and evidence, and between claim(s) and counterclaims.",,,,
ELA - Common Core," 11, 12",16477,W.11-12.1.d,Establish and maintain a formal style and objective tone while attending to the norms and conventions of the discipline in which they are writing.,,,,
ELA - Common Core," 11, 12",16478,W.11-12.1.e,Provide a concluding statement or section that follows from and supports the argument presented.,,,,
ELA - Common Core," 11, 12",16479,W.11-12.2,"Write informative/explanatory texts to examine and convey complex ideas, concepts, and information clearly and accurately through the effective selection, organization, and analysis of content.",,,,
ELA - Common Core," 11, 12",16480,W.11-12.2.a,"Introduce a topic; organize complex ideas, concepts, and information so that each new element builds on that which precedes it to create a unified whole; include formatting, graphics, and multimedia when useful to aiding comprehension.",,,,
ELA - Common Core," 11, 12",16481,W.11-12.2.b,"Develop the topic thoroughly by selecting the most significant and relevant facts, extended definitions, concrete details, quotations, or other information and examples appropriate to the audience's knowledge of the topic.",,,,
ELA - Common Core," 11, 12",16482,W.11-12.2.c,"Use appropriate and varied transitions and syntax to link the major sections of the text, create cohesion, and clarify the relationships among complex ideas and concepts.",,,,
ELA - Common Core," 11, 12",16483,W.11-12.2.d,"Use precise language, domain-specific vocabulary, and techniques such as metaphor, simile, and analogy to manage the complexity of the topic.",,,,
ELA - Common Core," 11, 12",16484,W.11-12.2.e,Establish and maintain a formal style and objective tone while attending to the norms and conventions of the discipline in which they are writing.,,,,
ELA - Common Core," 11, 12",16485,W.11-12.2.f,Provide a concluding statement or section that follows from and supports the information or explanation presented.,,,,
ELA - Common Core," 11, 12",16486,W.11-12.3,"Write narratives to develop real or imagined experiences or events using effective technique, well-chosen details, and well-structured event sequences.",,,,
ELA - Common Core," 11, 12",16487,W.11-12.3.a,"Engage and orient the reader by setting out a problem, situation, or observation and its significance, establishing one or multiple point(s) of view, and introducing a narrator and/or characters; create a smooth progression of experiences or events.",,,,
ELA - Common Core," 11, 12",16488,W.11-12.3.b,"Use narrative techniques, such as dialogue, pacing, description, reflection, and multiple plot lines, to develop experiences, events, and/or characters.",,,,
ELA - Common Core," 11, 12",16489,W.11-12.3.c,Use a variety of techniques to sequence events so that they build on one another to create a coherent whole and build toward a particular tone and outcome.,,,,
ELA - Common Core," 11, 12",16490,W.11-12.3.d,"Use precise words and phrases, telling details, and sensory language to convey a vivid picture of the experiences, events, setting, and/or characters.",,,,
ELA - Common Core," 11, 12",16491,W.11-12.3.e,"Provide a conclusion that follows from and reflects on what is experienced, observed, or resolved over the course of the narrative.",,,,
ELA - Common Core," 11, 12",16541,W.11-12.4,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",,,,
ELA - Common Core," 11, 12",16542,W.11-12.5,"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach, focusing on addressing what is most significant for a specific purpose and audience.",,,,
ELA - Common Core," 11, 12",16543,W.11-12.6,"Use technology, including the Internet, to produce, publish, and update individual or shared writing products in response to ongoing feedback, including new arguments or information.",,,,
ELA - Common Core," 11, 12",16590,W.11-12.7,"Conduct short as well as more sustained research projects to answer a question (including a self-generated question) or solve a problem; narrow or broaden the inquiry when appropriate; synthesize multiple sources on the subject, demonstrating understanding of the subject under investigation.",,,,
ELA - Common Core," 11, 12",16591,W.11-12.8,"Gather relevant information from multiple authoritative print and digital sources, using advanced searches effectively; assess the strengths and limitations of each source in terms of the task, purpose, and audience; integrate information into the text selectively to maintain the flow of ideas, avoiding plagiarism and over-reliance on any one source and following a standard format for citation.",,,,
ELA - Common Core," 11, 12",16592,W.11-12.9,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",,,,
ELA - Common Core," 11, 12",16593,W.11-12.9.a,Apply grades 11-12 Reading standards to literature.,,,,
ELA - Common Core," 11, 12",16594,W.11-12.9.b,Apply grades 11-12 Reading standards to literary nonfiction.,,,,
ELA - Common Core," 11, 12",16608,W.11-12.10,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences.",,,,
ELA - Common Core," 11, 12",16663,WHST.11-12.1,Write arguments focused on discipline-specific content.,,,,
ELA - Common Core," 11, 12",16664,WHST.11-12.1.a,"Introduce precise, knowledgeable claim(s), establish the significance of the claim(s), distinguish the claim(s) from alternate or opposing claims, and create an organization that logically sequences the claim(s), counterclaims, reasons, and evidence.",,,,
ELA - Common Core," 11, 12",16665,WHST.11-12.1.b,"Develop claim(s) and counterclaims fairly and thoroughly, supplying the most relevant data and evidence for each while pointing out the strengths and limitations of both claim(s) and counterclaims in a discipline-appropriate form that anticipates the audience's knowledge level, concerns, values, and possible biases.",,,,
ELA - Common Core," 11, 12",16666,WHST.11-12.1.c,"Use words, phrases, and clauses as well as varied syntax to link the major sections of the text, create cohesion, and clarify the relationships between claim(s) and reasons, between reasons and evidence, and between claim(s) and counterclaims.",,,,
ELA - Common Core," 11, 12",16667,WHST.11-12.1.d,Establish and maintain a formal style and objective tone while attending to the norms and conventions of the discipline in which they are writing.,,,,
ELA - Common Core," 11, 12",16668,WHST.11-12.1.e,Provide a concluding statement or section that follows from or supports the argument presented.,,,,
ELA - Common Core," 11, 12",16669,WHST.11-12.2,"Write informative/explanatory texts, including the narration of historical events, scientific procedures/ experiments, or technical processes.",,,,
ELA - Common Core," 11, 12",16670,WHST.11-12.2.a,"Introduce a topic and organize complex ideas, concepts, and information so that each new element builds on that which precedes it to create a unified whole; include formatting, graphics, and multimedia when useful to aiding comprehension.",,,,
ELA - Common Core," 11, 12",16671,WHST.11-12.2.b,"Develop the topic thoroughly by selecting the most significant and relevant facts, extended definitions, concrete details, quotations, or other information and examples appropriate to the audience's knowledge of the topic.",,,,
ELA - Common Core," 11, 12",16672,WHST.11-12.2.c,"Use varied transitions and sentence structures to link the major sections of the text, create cohesion, and clarify the relationships among complex ideas and concepts.",,,,
ELA - Common Core," 11, 12",16673,WHST.11-12.2.d,"Use precise language, domain-specific vocabulary and techniques such as metaphor, simile, and analogy to manage the complexity of the topic; convey a knowledgeable stance in a style that responds to the discipline and context as well as to the expertise of likely readers.",,,,
ELA - Common Core," 11, 12",16674,WHST.11-12.2.e,Provide a concluding statement or section that follows from and supports the information or explanation provided.,,,,
ELA - Common Core," 11, 12",16693,WHST.11-12.4,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",,,,
ELA - Common Core," 11, 12",16694,WHST.11-12.5,"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach, focusing on addressing what is most significant for a specific purpose and audience.",,,,
ELA - Common Core," 11, 12",16695,WHST.11-12.6,"Use technology, including the Internet, to produce, publish, and update individual or shared writing products in response to ongoing feedback, including new arguments or information.",,,,
ELA - Common Core," 11, 12",16702,WHST.11-12.7,"Conduct short as well as more sustained research projects to answer a question (including a self-generated question) or solve a problem; narrow or broaden the inquiry when appropriate; synthesize multiple sources on the subject, demonstrating understanding of the subject under investigation.",,,,
ELA - Common Core," 11, 12",16703,WHST.11-12.8,"Gather relevant information from multiple authoritative print and digital sources, using advanced searches effectively; assess the strengths and limitations of each source in terms of the specific task, purpose, and audience; integrate information into the text selectively to maintain the flow of ideas, avoiding plagiarism and over-reliance on any one source and following a standard format for citation.",,,,
ELA - Common Core," 11, 12",16704,WHST.11-12.9,"Draw evidence from informational texts to support analysis, reflection, and research.",,,,
ELA - Common Core," 11, 12",16707,WHST.11-12.10,"Write routinely over extended time frames (time for reflection and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences.",,,,
ELA - Common Core," 11, 12",16796,SL.11-12.1,"Initiate and participate effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grades 11-12 topics, texts, and issues, building on others' ideas and expressing their own clearly and persuasively.",,,,
ELA - Common Core," 11, 12",16797,SL.11-12.1.a,"Come to discussions prepared, having read and researched material under study; explicitly draw on that preparation by referring to evidence from texts and other research on the topic or issue to stimulate a thoughtful, well-reasoned exchange of ideas.",,,,
ELA - Common Core," 11, 12",16798,SL.11-12.1.b,"Work with peers to promote civil, democratic discussions and decision-making, set clear goals and deadlines, and establish individual roles as needed.",,,,
ELA - Common Core," 11, 12",16799,SL.11-12.1.c,"Propel conversations by posing and responding to questions that probe reasoning and evidence; ensure a hearing for a full range of positions on a topic or issue; clarify, verify, or challenge ideas and conclusions; and promote divergent and creative perspectives.",,,,
ELA - Common Core," 11, 12",16800,SL.11-12.1.d,"Respond thoughtfully to diverse perspectives; synthesize comments, claims, and evidence made on all sides of an issue; resolve contradictions when possible; and determine what additional information or research is required to deepen the investigation or complete the task.",,,,
ELA - Common Core," 11, 12",16801,SL.11-12.2,"Integrate multiple sources of information presented in diverse formats and media in order to make informed decisions and solve problems, evaluating the credibility and accuracy of each source and noting any discrepancies among the data.",,,,
ELA - Common Core," 11, 12",16802,SL.11-12.3,"Evaluate a speaker's point of view, reasoning, and use of evidence and rhetoric, assessing the stance, premises, links among ideas, word choice, points of emphasis, and tone used.",,,,
ELA - Common Core," 11, 12",16847,SL.11-12.4,"Present information, findings, and supporting evidence, conveying a clear and distinct perspective, such that listeners can follow the line of reasoning, alternative or opposing perspectives are addressed, and the organization, development, substance, and style are appropriate to purpose, audience, and a range of formal and informal tasks.",,,,
ELA - Common Core," 11, 12",16848,SL.11-12.5,"Make strategic use of digital media in presentations to enhance understanding of findings, reasoning, and evidence and to add interest.",,,,
ELA - Common Core," 11, 12",16849,SL.11-12.6,"Adapt speech to a variety of contexts and tasks, demonstrating command of formal English when indicated or appropriate.",,,,
ELA - Common Core," 11, 12",16968,L.11-12.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,,
ELA - Common Core," 11, 12",16969,L.11-12.1.a,"Apply the understanding that usage is a matter of convention, can change over time, and is sometimes contested.",,,,
ELA - Common Core," 11, 12",16970,L.11-12.1.b,"Resolve issues of complex or contested usage, consulting references as needed.",,,,
ELA - Common Core," 11, 12",16971,L.11-12.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,,
ELA - Common Core," 11, 12",16972,L.11-12.2.a,Observe hyphenation conventions.,,,,
ELA - Common Core," 11, 12",16973,L.11-12.2.b,Spell correctly.,,,,
ELA - Common Core," 11, 12",17008,L.11-12.3,"Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.",,,,
ELA - Common Core," 11, 12",17009,L.11-12.3.a,"Vary syntax for effect, consulting references for guidance as needed; apply an understanding of syntax to the study of complex texts when reading.",,,,
ELA - Common Core," 11, 12",17110,L.11-12.4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grades 11-12 reading and content, choosing flexibly from a range of strategies.",,,,
ELA - Common Core," 11, 12",17111,L.11-12.4.a,Use context as a clue to the meaning of a word or phrase.,,,,
ELA - Common Core," 11, 12",17112,L.11-12.4.b,Identify and correctly use patterns of word changes that indicate different meanings or parts of speech.,,,,
ELA - Common Core," 11, 12",17113,L.11-12.4.c,"Consult general and specialized reference materials, both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning, its part of speech, its etymology, or its standard usage.",,,,
ELA - Common Core," 11, 12",17114,L.11-12.4.d,Verify the preliminary determination of the meaning of a word or phrase.,,,,
ELA - Common Core," 11, 12",17115,L.11-12.5,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.",,,,
ELA - Common Core," 11, 12",17116,L.11-12.5.a,Interpret figures of speech in context and analyze their role in the text.,,,,
