subject,grade,skillId,skillIdentifier,keywords,keywords
ELA - Common Core,1,16513,W.1.5, guidance  support  adults focus   topic respond  questions  suggestions  peers  add details  strengthen writing  needed, guidance  support  adults focus   topic respond  questions  suggestions  peers  add details  strengthen writing  needed
ELA - Common Core,1,16514,W.1.6, guidance  support  adults use  variety  digital tools  produce  publish writing including  collaboration  peers, guidance  support  adults use  variety  digital tools  produce  publish writing including  collaboration  peers
ELA - Common Core,1,16549,W.1.7,participate  shared research  writing projects,participate  shared research  writing projects
ELA - Common Core,1,16550,W.1.8, guidance  support  adults recall information  experiences  gather information  provided sources  answer  question, guidance  support  adults recall information  experiences  gather information  provided sources  answer  question
ELA - Common Core,1,16735,SL.1.1,participate  collaborative conversations  diverse partners  grade 1 topics  texts  peers  adults  small  larger groups,participate  collaborative conversations  diverse partners  grade 1 topics  texts  peers  adults  small  larger groups
ELA - Common Core,1,16736,SL.1.1.a,follow agreedupon rules  discussions,follow agreedupon rules  discussions
ELA - Common Core,1,16737,SL.1.1.b,build  others talk  conversations  responding   comments  others  multiple exchanges,build  others talk  conversations  responding   comments  others  multiple exchanges
ELA - Common Core,1,16738,SL.1.1.c,ask questions  clear   confusion   topics  texts  discussion,ask questions  clear   confusion   topics  texts  discussion
ELA - Common Core,1,16739,SL.1.2,ask  answer questions  key details   text read aloud  information presented orally    media,ask  answer questions  key details   text read aloud  information presented orally    media
ELA - Common Core,1,16740,SL.1.3,ask  answer questions    speaker says  order  gather additional information  clarify something    understood,ask  answer questions    speaker says  order  gather additional information  clarify something    understood
ELA - Common Core,1,16820,SL.1.4,describe people places things  events  relevant details expressing ideas  feelings clearly,describe people places things  events  relevant details expressing ideas  feelings clearly
ELA - Common Core,1,16821,SL.1.5,add drawings   visual displays  descriptions  appropriate  clarify ideas thoughts  feelings,add drawings   visual displays  descriptions  appropriate  clarify ideas thoughts  feelings
ELA - Common Core,1,16822,SL.1.6,produce complete sentences  appropriate  task  situation,produce complete sentences  appropriate  task  situation
ELA - Common Core,1,16863,L.1.1,demonstrate command   conventions  standard english grammar  usage  writing  speaking,demonstrate command   conventions  standard english grammar  usage  writing  speaking
ELA - Common Core,1,16864,L.1.1.a,print  upper  lowercase letters,print  upper  lowercase letters
ELA - Common Core,1,16865,L.1.1.b,use common proper  possessive nouns,use common proper  possessive nouns
ELA - Common Core,1,16866,L.1.1.c,use singular  plural nouns  matching verbs  basic sentences,use singular  plural nouns  matching verbs  basic sentences
ELA - Common Core,1,16867,L.1.1.d,use personal possessive  indefinite pronouns,use personal possessive  indefinite pronouns
ELA - Common Core,1,16868,L.1.1.e,use verbs  convey  sense  past present  future,use verbs  convey  sense  past present  future
ELA - Common Core,1,16869,L.1.1.f,use frequently occurring adjectives,use frequently occurring adjectives
ELA - Common Core,1,16870,L.1.1.g,use frequently occurring conjunctions,use frequently occurring conjunctions
ELA - Common Core,1,16871,L.1.1.h,use determiners,use determiners
ELA - Common Core,1,16872,L.1.1.i,use frequently occurring prepositions,use frequently occurring prepositions
ELA - Common Core,1,16873,L.1.1.j,produce  expand complete simple  compound declarative interrogative imperative  exclamatory sentences  response  prompts,produce  expand complete simple  compound declarative interrogative imperative  exclamatory sentences  response  prompts
ELA - Common Core,1,16874,L.1.2,demonstrate command   conventions  standard english capitalization punctuation  spelling  writing,demonstrate command   conventions  standard english capitalization punctuation  spelling  writing
ELA - Common Core,1,16875,L.1.2.a,capitalize dates  names  people,capitalize dates  names  people
ELA - Common Core,1,16876,L.1.2.b,use end punctuation  sentences,use end punctuation  sentences
ELA - Common Core,1,16877,L.1.2.c,use commas  dates   separate single words   series,use commas  dates   separate single words   series
ELA - Common Core,1,16878,L.1.2.d,use conventional spelling  words  common spelling patterns   frequently occurring irregular words,use conventional spelling  words  common spelling patterns   frequently occurring irregular words
ELA - Common Core,1,16879,L.1.2.e,spell untaught words phonetically drawing  phonemic awareness  spelling conventions,spell untaught words phonetically drawing  phonemic awareness  spelling conventions
ELA - Common Core,1,17023,L.1.4,determine  clarify  meaning  unknown  multiplemeaning words  phrases based  grade 1 reading  content choosing flexibly   array  strategies,determine  clarify  meaning  unknown  multiplemeaning words  phrases based  grade 1 reading  content choosing flexibly   array  strategies
ELA - Common Core,1,17024,L.1.4.a,use sentencelevel context   clue   meaning   word  phrase,use sentencelevel context   clue   meaning   word  phrase
ELA - Common Core,1,17025,L.1.4.b,use frequently occurring affixes   clue   meaning   word,use frequently occurring affixes   clue   meaning   word
ELA - Common Core,1,17026,L.1.4.c,identify frequently occurring root words   inflectional forms,identify frequently occurring root words   inflectional forms
ELA - Common Core,1,17027,L.1.5, guidance  support  adults demonstrate understanding  word relationships  nuances  word meanings, guidance  support  adults demonstrate understanding  word relationships  nuances  word meanings
ELA - Common Core,1,17028,L.1.5.a,sort words  categories  gain  sense   concepts  categories represent,sort words  categories  gain  sense   concepts  categories represent
ELA - Common Core,1,17029,L.1.5.b,define words  category   one   key attributes,define words  category   one   key attributes
ELA - Common Core,1,17030,L.1.5.c,identify reallife connections  words   use,identify reallife connections  words   use
ELA - Common Core,1,17031,L.1.5.d,distinguish shades  meaning among verbs differing  manner  adjectives differing  intensity  defining  choosing    acting   meanings,distinguish shades  meaning among verbs differing  manner  adjectives differing  intensity  defining  choosing    acting   meanings
ELA - Common Core,1,17032,L.1.6,use words  phrases acquired  conversations reading   read   responding  texts including using frequently occurring conjunctions  signal simple relationships,use words  phrases acquired  conversations reading   read   responding  texts including using frequently occurring conjunctions  signal simple relationships
ELA - Common Core," 11, 12",15913,RL.11-12.1,cite strong  thorough textual evidence  support analysis    text says explicitly  well  inferences drawn   text including determining   text leaves matters uncertain,cite strong  thorough textual evidence  support analysis    text says explicitly  well  inferences drawn   text including determining   text leaves matters uncertain
ELA - Common Core," 11, 12",15914,RL.11-12.2,determine two   themes  central ideas   text  analyze  development   course   text including   interact  build  one another  produce  complex account provide  objective summary   text,determine two   themes  central ideas   text  analyze  development   course   text including   interact  build  one another  produce  complex account provide  objective summary   text
ELA - Common Core," 11, 12",15915,RL.11-12.3,analyze  impact   authors choices regarding   develop  relate elements   story  drama,analyze  impact   authors choices regarding   develop  relate elements   story  drama
ELA - Common Core," 11, 12",15952,RL.11-12.4,determine  meaning  words  phrases    used   text including figurative  connotative meanings analyze  impact  specific word choices  meaning  tone including words  multiple meanings  language   particularly fresh engaging  beautiful include shakespeare  well   authors,determine  meaning  words  phrases    used   text including figurative  connotative meanings analyze  impact  specific word choices  meaning  tone including words  multiple meanings  language   particularly fresh engaging  beautiful include shakespeare  well   authors
ELA - Common Core," 11, 12",15953,RL.11-12.5,analyze   authors choices concerning   structure specific parts   text contribute   overall structure  meaning  well   aesthetic impact,analyze   authors choices concerning   structure specific parts   text contribute   overall structure  meaning  well   aesthetic impact
ELA - Common Core," 11, 12",15954,RL.11-12.6,analyze  case   grasping point  view requires distinguishing   directly stated   text    really meant,analyze  case   grasping point  view requires distinguishing   directly stated   text    really meant
ELA - Common Core," 11, 12",15980,RL.11-12.7,analyze multiple interpretations   story drama  poem evaluating   version interprets  source text include  least one play  shakespeare  one play   american dramatist,analyze multiple interpretations   story drama  poem evaluating   version interprets  source text include  least one play  shakespeare  one play   american dramatist
ELA - Common Core," 11, 12",15981,RL.11-12.9,demonstrate knowledge  eighteenth nineteenth  earlytwentiethcentury foundational works  american literature including  two   texts    period treat similar themes  topics,demonstrate knowledge  eighteenth nineteenth  earlytwentiethcentury foundational works  american literature including  two   texts    period treat similar themes  topics
ELA - Common Core," 11, 12",15995,RL.11-12.10,  end  grade 11 read  comprehend literature including stories dramas  poems   grades 11ccr text complexity band proficiently  scaffolding  needed   high end   rangebrbr  end  grade 12 read  comprehend literature including stories dramas  poems   high end   grades 11ccr text complexity band independently  proficiently,  end  grade 11 read  comprehend literature including stories dramas  poems   grades 11ccr text complexity band proficiently  scaffolding  needed   high end   rangebrbr  end  grade 12 read  comprehend literature including stories dramas  poems   high end   grades 11ccr text complexity band independently  proficiently
ELA - Common Core," 11, 12",16031,RI.11-12.1,cite strong  thorough textual evidence  support analysis    text says explicitly  well  inferences drawn   text including determining   text leaves matters uncertain,cite strong  thorough textual evidence  support analysis    text says explicitly  well  inferences drawn   text including determining   text leaves matters uncertain
ELA - Common Core," 11, 12",16032,RI.11-12.2,determine two   central ideas   text  analyze  development   course   text including   interact  build  one another  provide  complex analysis provide  objective summary   text,determine two   central ideas   text  analyze  development   course   text including   interact  build  one another  provide  complex analysis provide  objective summary   text
ELA - Common Core," 11, 12",16033,RI.11-12.3,analyze  complex set  ideas  sequence  events  explain  specific individuals ideas  events interact  develop   course   text,analyze  complex set  ideas  sequence  events  explain  specific individuals ideas  events interact  develop   course   text
ELA - Common Core," 11, 12",16070,RI.11-12.4,determine  meaning  words  phrases    used   text including figurative connotative  technical meanings analyze   author uses  refines  meaning   key term  terms   course   text,determine  meaning  words  phrases    used   text including figurative connotative  technical meanings analyze   author uses  refines  meaning   key term  terms   course   text
ELA - Common Core," 11, 12",16071,RI.11-12.5,analyze  evaluate  effectiveness   structure  author uses     exposition  argument including whether  structure makes points clear convincing  engaging,analyze  evaluate  effectiveness   structure  author uses     exposition  argument including whether  structure makes points clear convincing  engaging
ELA - Common Core," 11, 12",16072,RI.11-12.6,determine  authors point  view  purpose   text    rhetoric  particularly effective analyzing  style  content contribute   power persuasiveness  beauty   text,determine  authors point  view  purpose   text    rhetoric  particularly effective analyzing  style  content contribute   power persuasiveness  beauty   text
ELA - Common Core," 11, 12",16109,RI.11-12.7,integrate  evaluate multiple sources  information presented  different media  formats  well   words  order  address  question  solve  problem,integrate  evaluate multiple sources  information presented  different media  formats  well   words  order  address  question  solve  problem
ELA - Common Core," 11, 12",16110,RI.11-12.8,delineate  evaluate  reasoning  seminal us texts including  application  constitutional principles  use  legal reasoning   premises purposes  arguments  works  public advocacy,delineate  evaluate  reasoning  seminal us texts including  application  constitutional principles  use  legal reasoning   premises purposes  arguments  works  public advocacy
ELA - Common Core," 11, 12",16111,RI.11-12.9,analyze seventeenth eighteenth  nineteenthcentury foundational us documents  historical  literary significance including  declaration  independence  preamble   constitution  bill  rights  lincolns second inaugural address   themes purposes  rhetorical features,analyze seventeenth eighteenth  nineteenthcentury foundational us documents  historical  literary significance including  declaration  independence  preamble   constitution  bill  rights  lincolns second inaugural address   themes purposes  rhetorical features
ELA - Common Core," 11, 12",16126,RI.11-12.10,  end  grade 11 read  comprehend literary nonfiction   grades 11ccr text complexity band proficiently  scaffolding  needed   high end   rangebr  end  grade 12 read  comprehend literary nonfiction   high end   grades 11ccr text complexity band independently  proficiently,  end  grade 11 read  comprehend literary nonfiction   grades 11ccr text complexity band proficiently  scaffolding  needed   high end   rangebr  end  grade 12 read  comprehend literary nonfiction   high end   grades 11ccr text complexity band independently  proficiently
ELA - Common Core," 11, 12",16204,RH.11-12.1,cite specific textual evidence  support analysis  primary  secondary sources connecting insights gained  specific details   understanding   text   whole,cite specific textual evidence  support analysis  primary  secondary sources connecting insights gained  specific details   understanding   text   whole
ELA - Common Core," 11, 12",16205,RH.11-12.2,determine  central ideas  information   primary  secondary source provide  accurate summary  makes clear  relationships among  key details  ideas,determine  central ideas  information   primary  secondary source provide  accurate summary  makes clear  relationships among  key details  ideas
ELA - Common Core," 11, 12",16206,RH.11-12.3,evaluate various explanations  actions  events  determine  explanation best accords  textual evidence acknowledging   text leaves matters uncertain,evaluate various explanations  actions  events  determine  explanation best accords  textual evidence acknowledging   text leaves matters uncertain
ELA - Common Core," 11, 12",16213,RH.11-12.4,determine  meaning  words  phrases    used   text including analyzing   author uses  refines  meaning   key term   course   text,determine  meaning  words  phrases    used   text including analyzing   author uses  refines  meaning   key term   course   text
ELA - Common Core," 11, 12",16214,RH.11-12.5,analyze  detail   complex primary source  structured including  key sentences paragraphs  larger portions   text contribute   whole,analyze  detail   complex primary source  structured including  key sentences paragraphs  larger portions   text contribute   whole
ELA - Common Core," 11, 12",16215,RH.11-12.6,evaluate authors differing points  view    historical event  issue  assessing  authors claims reasoning  evidence,evaluate authors differing points  view    historical event  issue  assessing  authors claims reasoning  evidence
ELA - Common Core," 11, 12",16222,RH.11-12.7,integrate  evaluate multiple sources  information presented  diverse formats  media  order  address  question  solve  problem,integrate  evaluate multiple sources  information presented  diverse formats  media  order  address  question  solve  problem
ELA - Common Core," 11, 12",16223,RH.11-12.8,evaluate  authors premises claims  evidence  corroborating  challenging    information,evaluate  authors premises claims  evidence  corroborating  challenging    information
ELA - Common Core," 11, 12",16224,RH.11-12.9,integrate information  diverse sources  primary  secondary   coherent understanding   idea  event noting discrepancies among sources,integrate information  diverse sources  primary  secondary   coherent understanding   idea  event noting discrepancies among sources
ELA - Common Core," 11, 12",16227,RH.11-12.10,  end  grade 12 read  comprehend historysocial studies texts   grades 11ccr text complexity band independently  proficiently,  end  grade 12 read  comprehend historysocial studies texts   grades 11ccr text complexity band independently  proficiently
ELA - Common Core," 11, 12",16265,RST.11-12.1,cite specific textual evidence  support analysis  science  technical texts attending  important distinctions  author makes    gaps  inconsistencies   account,cite specific textual evidence  support analysis  science  technical texts attending  important distinctions  author makes    gaps  inconsistencies   account
ELA - Common Core," 11, 12",16266,RST.11-12.2,determine  central ideas  conclusions   text summarize complex concepts processes  information presented   text  paraphrasing   simpler  still accurate terms,determine  central ideas  conclusions   text summarize complex concepts processes  information presented   text  paraphrasing   simpler  still accurate terms
ELA - Common Core," 11, 12",16267,RST.11-12.3,follow precisely  complex multistep procedure  carrying  experiments taking measurements  performing technical tasks analyze  specific results based  explanations   text,follow precisely  complex multistep procedure  carrying  experiments taking measurements  performing technical tasks analyze  specific results based  explanations   text
ELA - Common Core," 11, 12",16274,RST.11-12.4,determine  meaning  symbols key terms   domainspecific words  phrases    used   specific scientific  technical context relevant  grades 1112 texts  topics,determine  meaning  symbols key terms   domainspecific words  phrases    used   specific scientific  technical context relevant  grades 1112 texts  topics
ELA - Common Core," 11, 12",16275,RST.11-12.5,analyze   text structures information  ideas  categories  hierarchies demonstrating understanding   information  ideas,analyze   text structures information  ideas  categories  hierarchies demonstrating understanding   information  ideas
ELA - Common Core," 11, 12",16276,RST.11-12.6,analyze  authors purpose  providing  explanation describing  procedure  discussing  experiment   text identifying important issues  remain unresolved,analyze  authors purpose  providing  explanation describing  procedure  discussing  experiment   text identifying important issues  remain unresolved
ELA - Common Core," 11, 12",16283,RST.11-12.7,integrate  evaluate multiple sources  information presented  diverse formats  media  order  address  question  solve  problem,integrate  evaluate multiple sources  information presented  diverse formats  media  order  address  question  solve  problem
ELA - Common Core," 11, 12",16284,RST.11-12.8,evaluate  hypotheses data analysis  conclusions   science  technical text verifying  data  possible  corroborating  challenging conclusions   sources  information,evaluate  hypotheses data analysis  conclusions   science  technical text verifying  data  possible  corroborating  challenging conclusions   sources  information
ELA - Common Core," 11, 12",16285,RST.11-12.9,synthesize information   range  sources   coherent understanding   process phenomenon  concept resolving conflicting information  possible,synthesize information   range  sources   coherent understanding   process phenomenon  concept resolving conflicting information  possible
ELA - Common Core," 11, 12",16288,RST.11-12.10,  end  grade 12 read  comprehend sciencetechnical texts   grades 11ccr text complexity band independently  proficiently,  end  grade 12 read  comprehend sciencetechnical texts   grades 11ccr text complexity band independently  proficiently
ELA - Common Core," 11, 12",16473,W.11-12.1,write arguments  support claims   analysis  substantive topics  texts using valid reasoning  relevant  sufficient evidence,write arguments  support claims   analysis  substantive topics  texts using valid reasoning  relevant  sufficient evidence
ELA - Common Core," 11, 12",16474,W.11-12.1.a,introduce precise knowledgeable claims establish  significance   claims distinguish  claims  alternate  opposing claims  create  organization  logically sequences claims counterclaims reasons  evidence,introduce precise knowledgeable claims establish  significance   claims distinguish  claims  alternate  opposing claims  create  organization  logically sequences claims counterclaims reasons  evidence
ELA - Common Core," 11, 12",16475,W.11-12.1.b,develop claims  counterclaims fairly  thoroughly supplying   relevant evidence    pointing   strengths  limitations     manner  anticipates  audiences knowledge level concerns values  possible biases,develop claims  counterclaims fairly  thoroughly supplying   relevant evidence    pointing   strengths  limitations     manner  anticipates  audiences knowledge level concerns values  possible biases
ELA - Common Core," 11, 12",16476,W.11-12.1.c,use words phrases  clauses  well  varied syntax  link  major sections   text create cohesion  clarify  relationships  claims  reasons  reasons  evidence   claims  counterclaims,use words phrases  clauses  well  varied syntax  link  major sections   text create cohesion  clarify  relationships  claims  reasons  reasons  evidence   claims  counterclaims
ELA - Common Core," 11, 12",16477,W.11-12.1.d,establish  maintain  formal style  objective tone  attending   norms  conventions   discipline     writing,establish  maintain  formal style  objective tone  attending   norms  conventions   discipline     writing
ELA - Common Core," 11, 12",16478,W.11-12.1.e,provide  concluding statement  section  follows   supports  argument presented,provide  concluding statement  section  follows   supports  argument presented
ELA - Common Core," 11, 12",16479,W.11-12.2,write informativeexplanatory texts  examine  convey complex ideas concepts  information clearly  accurately   effective selection organization  analysis  content,write informativeexplanatory texts  examine  convey complex ideas concepts  information clearly  accurately   effective selection organization  analysis  content
ELA - Common Core," 11, 12",16480,W.11-12.2.a,introduce  topic organize complex ideas concepts  information    new element builds    precedes   create  unified whole include formatting graphics  multimedia  useful  aiding comprehension,introduce  topic organize complex ideas concepts  information    new element builds    precedes   create  unified whole include formatting graphics  multimedia  useful  aiding comprehension
ELA - Common Core," 11, 12",16481,W.11-12.2.b,develop  topic thoroughly  selecting   significant  relevant facts extended definitions concrete details quotations   information  examples appropriate   audiences knowledge   topic,develop  topic thoroughly  selecting   significant  relevant facts extended definitions concrete details quotations   information  examples appropriate   audiences knowledge   topic
ELA - Common Core," 11, 12",16482,W.11-12.2.c,use appropriate  varied transitions  syntax  link  major sections   text create cohesion  clarify  relationships among complex ideas  concepts,use appropriate  varied transitions  syntax  link  major sections   text create cohesion  clarify  relationships among complex ideas  concepts
ELA - Common Core," 11, 12",16483,W.11-12.2.d,use precise language domainspecific vocabulary  techniques   metaphor simile  analogy  manage  complexity   topic,use precise language domainspecific vocabulary  techniques   metaphor simile  analogy  manage  complexity   topic
ELA - Common Core," 11, 12",16484,W.11-12.2.e,establish  maintain  formal style  objective tone  attending   norms  conventions   discipline     writing,establish  maintain  formal style  objective tone  attending   norms  conventions   discipline     writing
ELA - Common Core," 11, 12",16485,W.11-12.2.f,provide  concluding statement  section  follows   supports  information  explanation presented,provide  concluding statement  section  follows   supports  information  explanation presented
ELA - Common Core," 11, 12",16486,W.11-12.3,write narratives  develop real  imagined experiences  events using effective technique wellchosen details  wellstructured event sequences,write narratives  develop real  imagined experiences  events using effective technique wellchosen details  wellstructured event sequences
ELA - Common Core," 11, 12",16487,W.11-12.3.a,engage  orient  reader  setting   problem situation  observation   significance establishing one  multiple points  view  introducing  narrator  characters create  smooth progression  experiences  events,engage  orient  reader  setting   problem situation  observation   significance establishing one  multiple points  view  introducing  narrator  characters create  smooth progression  experiences  events
ELA - Common Core," 11, 12",16488,W.11-12.3.b,use narrative techniques   dialogue pacing description reflection  multiple plot lines  develop experiences events  characters,use narrative techniques   dialogue pacing description reflection  multiple plot lines  develop experiences events  characters
ELA - Common Core," 11, 12",16489,W.11-12.3.c,use  variety  techniques  sequence events    build  one another  create  coherent whole  build toward  particular tone  outcome,use  variety  techniques  sequence events    build  one another  create  coherent whole  build toward  particular tone  outcome
ELA - Common Core," 11, 12",16490,W.11-12.3.d,use precise words  phrases telling details  sensory language  convey  vivid picture   experiences events setting  characters,use precise words  phrases telling details  sensory language  convey  vivid picture   experiences events setting  characters
ELA - Common Core," 11, 12",16491,W.11-12.3.e,provide  conclusion  follows   reflects    experienced observed  resolved   course   narrative,provide  conclusion  follows   reflects    experienced observed  resolved   course   narrative
ELA - Common Core," 11, 12",16541,W.11-12.4,produce clear  coherent writing    development organization  style  appropriate  task purpose  audience,produce clear  coherent writing    development organization  style  appropriate  task purpose  audience
ELA - Common Core," 11, 12",16542,W.11-12.5,develop  strengthen writing  needed  planning revising editing rewriting  trying  new approach focusing  addressing    significant   specific purpose  audience,develop  strengthen writing  needed  planning revising editing rewriting  trying  new approach focusing  addressing    significant   specific purpose  audience
ELA - Common Core," 11, 12",16543,W.11-12.6,use technology including  internet  produce publish  update individual  shared writing products  response  ongoing feedback including new arguments  information,use technology including  internet  produce publish  update individual  shared writing products  response  ongoing feedback including new arguments  information
ELA - Common Core," 11, 12",16590,W.11-12.7,conduct short  well   sustained research projects  answer  question including  selfgenerated question  solve  problem narrow  broaden  inquiry  appropriate synthesize multiple sources   subject demonstrating understanding   subject  investigation,conduct short  well   sustained research projects  answer  question including  selfgenerated question  solve  problem narrow  broaden  inquiry  appropriate synthesize multiple sources   subject demonstrating understanding   subject  investigation
ELA - Common Core," 11, 12",16591,W.11-12.8,gather relevant information  multiple authoritative print  digital sources using advanced searches effectively assess  strengths  limitations   source  terms   task purpose  audience integrate information   text selectively  maintain  flow  ideas avoiding plagiarism  reliance   one source  following  standard format  citation,gather relevant information  multiple authoritative print  digital sources using advanced searches effectively assess  strengths  limitations   source  terms   task purpose  audience integrate information   text selectively  maintain  flow  ideas avoiding plagiarism  reliance   one source  following  standard format  citation
ELA - Common Core," 11, 12",16592,W.11-12.9,draw evidence  literary  informational texts  support analysis reflection  research,draw evidence  literary  informational texts  support analysis reflection  research
ELA - Common Core," 11, 12",16593,W.11-12.9.a,apply grades 1112 reading standards  literature,apply grades 1112 reading standards  literature
ELA - Common Core," 11, 12",16594,W.11-12.9.b,apply grades 1112 reading standards  literary nonfiction,apply grades 1112 reading standards  literary nonfiction
ELA - Common Core," 11, 12",16608,W.11-12.10,write routinely  extended time frames time  research reflection  revision  shorter time frames  single sitting   day  two   range  disciplinespecific tasks purposes  audiences,write routinely  extended time frames time  research reflection  revision  shorter time frames  single sitting   day  two   range  disciplinespecific tasks purposes  audiences
ELA - Common Core," 11, 12",16663,WHST.11-12.1,write arguments focused  disciplinespecific content,write arguments focused  disciplinespecific content
ELA - Common Core," 11, 12",16664,WHST.11-12.1.a,introduce precise knowledgeable claims establish  significance   claims distinguish  claims  alternate  opposing claims  create  organization  logically sequences  claims counterclaims reasons  evidence,introduce precise knowledgeable claims establish  significance   claims distinguish  claims  alternate  opposing claims  create  organization  logically sequences  claims counterclaims reasons  evidence
